epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2675.42,1.05354,0.60755,1.16715,0.75284,0.74374,0.80412,0.53162,1.16728,0.65975,1.25577,0.00028475,0.00028475,0.00028475
80,2709.03,1.05235,0.61124,1.16619,0.74061,0.76245,0.80588,0.53422,1.16282,0.65559,1.24156,0.000272375,0.000272375,0.000272375
81,2742.6,1.05562,0.61274,1.17026,0.72805,0.77878,0.80815,0.53412,1.16918,0.66038,1.25093,0.00026,0.00026,0.00026
82,2776.1,1.04535,0.60624,1.16401,0.73694,0.7615,0.80431,0.53152,1.17014,0.66164,1.25855,0.000247625,0.000247625,0.000247625
83,2809.6,1.04514,0.60552,1.1701,0.728,0.77144,0.81008,0.53512,1.16813,0.65296,1.25525,0.00023525,0.00023525,0.00023525
84,2843.06,1.04376,0.59656,1.16064,0.72946,0.74946,0.79141,0.52415,1.16685,0.66765,1.25137,0.000222875,0.000222875,0.000222875
85,2876.49,1.03421,0.59367,1.1589,0.73619,0.77446,0.79622,0.52944,1.16816,0.66482,1.24564,0.0002105,0.0002105,0.0002105
86,2910.06,1.03094,0.59202,1.14924,0.74745,0.74692,0.79932,0.52783,1.17162,0.65999,1.25061,0.000198125,0.000198125,0.000198125
87,2943.65,1.03968,0.59374,1.14494,0.70384,0.78744,0.79396,0.52564,1.16856,0.66395,1.24914,0.00018575,0.00018575,0.00018575
88,2977.28,1.02914,0.58726,1.15239,0.72126,0.77634,0.79878,0.52867,1.16976,0.65831,1.26075,0.000173375,0.000173375,0.000173375
89,3010.84,1.03346,0.58487,1.15667,0.73628,0.75043,0.79748,0.52721,1.17114,0.66046,1.26004,0.000161,0.000161,0.000161
90,3044.3,1.01824,0.5762,1.14667,0.71795,0.77814,0.79608,0.52719,1.16506,0.65698,1.25528,0.000148625,0.000148625,0.000148625
91,3077.43,1.02652,0.56609,1.15737,0.7318,0.75457,0.79483,0.52415,1.17426,0.66441,1.2618,0.00013625,0.00013625,0.00013625
92,3109.72,1.01051,0.55022,1.15205,0.72203,0.75653,0.78787,0.52044,1.17578,0.66454,1.2646,0.000123875,0.000123875,0.000123875
93,3141.96,0.99932,0.54063,1.14471,0.73401,0.75931,0.79957,0.52837,1.17793,0.65925,1.26637,0.0001115,0.0001115,0.0001115
94,3174.34,0.99712,0.5368,1.14533,0.7225,0.77575,0.79565,0.52385,1.1774,0.66286,1.26771,9.9125e-05,9.9125e-05,9.9125e-05
95,3206.51,0.98771,0.53004,1.13987,0.72308,0.76745,0.78971,0.52098,1.17724,0.66722,1.26535,8.675e-05,8.675e-05,8.675e-05
96,3238.77,0.98918,0.52157,1.12999,0.71375,0.77149,0.7882,0.52093,1.17747,0.66765,1.26758,7.4375e-05,7.4375e-05,7.4375e-05
97,3271.06,0.97811,0.51552,1.12628,0.7262,0.76356,0.79577,0.52674,1.17584,0.66352,1.26904,6.2e-05,6.2e-05,6.2e-05
98,3303.34,0.98356,0.52322,1.13154,0.73137,0.76071,0.7925,0.52385,1.17685,0.66573,1.26985,4.9625e-05,4.9625e-05,4.9625e-05
99,3335.79,0.97323,0.51208,1.12661,0.74279,0.75747,0.79437,0.52577,1.1745,0.66388,1.26584,3.725e-05,3.725e-05,3.725e-05
100,3368.11,0.96794,0.50765,1.11401,0.7373,0.75916,0.79244,0.52442,1.17951,0.66489,1.271,2.4875e-05,2.4875e-05,2.4875e-05
